Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Alpha-Beta AI, Time Taken: 0.005956 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Alpha-Beta AI, Time Taken: 0.005989 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Alpha-Beta AI, Time Taken: 0.005981 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Alpha-Beta AI, Time Taken: 0.006059 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Random AI, Time Taken: 0.000199 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Random AI, Time Taken: 0.000203 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Random AI, Time Taken: 0.000226 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Random AI, Time Taken: 0.00456 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Random AI, Time Taken: 0.000189 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Random AI, Time Taken: 0.000263 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Random AI, Time Taken: 0.000195 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Random AI, Time Taken: 0.000226 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Random AI, Time Taken: 0.000185 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Random AI, Time Taken: 0.005125 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Minimax AI, Time Taken: 0.001 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Minimax AI, Time Taken: 0.001143 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Minimax AI, Time Taken: 0.000961 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Minimax AI, Time Taken: 0.001118 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Minimax AI, Time Taken: 0.000978 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Minimax AI, Time Taken: 0.000964 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Minimax AI, Time Taken: 0.000971 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Minimax AI, Time Taken: 0.001003 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Minimax AI, Time Taken: 0.000993 seconds
Winner: AI (Black), Black AI: Negascout AI, White AI: Minimax AI, Time Taken: 0.000984 seconds
Winner: Player (White), Black AI: Random AI, White AI: Random AI, Time Taken: 9.1e-05 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 0.000145 seconds
Winner: Player (White), Black AI: Random AI, White AI: Random AI, Time Taken: 0.000118 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 7.1e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Random AI, Time Taken: 0.000132 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 7e-05 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 9.2e-05 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 6.1e-05 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 0.000138 seconds
Winner: Player (White), Black AI: Random AI, White AI: Random AI, Time Taken: 0.0001 seconds
Winner: AI (White), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016328 seconds
Winner: AI (Black), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016313 seconds
Winner: AI (White), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016175 seconds
Winner: AI (Black), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016079 seconds
Winner: AI (Black), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016341 seconds
Winner: AI (Black), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016444 seconds
Winner: AI (White), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016429 seconds
Winner: AI (Black), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016439 seconds
Winner: AI (White), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.01623 seconds
Winner: AI (Black), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016199 seconds
Winner: AI (Black), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016296 seconds
Winner: AI (White), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016344 seconds
Winner: AI (Black), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.01653 seconds
Winner: AI (Black), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016297 seconds
Winner: AI (White), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016283 seconds
Winner: AI (Black), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.016439 seconds
Winner: AI (White), Black AI: MCTS AI, White AI: MCTS AI, Time Taken: 0.01639 seconds
